"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2017","444.85","445.56","446.76","443.90","1,451.17B","-0.02%"
"07/19/2017","444.92","442.82","446.40","442.82","1,391.52B","0.32%"
"07/18/2017","443.52","440.84","443.52","439.84","1,149.57B","0.66%"
"07/17/2017","440.60","442.34","443.16","439.35","1,172.36B","0.03%"
"07/14/2017","440.45","441.07","441.84","439.14","1,249.39B","-0.27%"
"07/13/2017","441.64","439.70","443.15","439.17","1,604.30B","0.34%"
"07/12/2017","440.13","439.68","441.67","439.12","1,240.23B","-0.01%"
"07/11/2017","440.19","434.30","440.19","434.30","1,237.82B","1.74%"
"07/10/2017","432.65","433.02","434.27","432.02","1,132.31B","0.11%"
"07/07/2017","432.18","433.87","434.36","431.81","1,099.69B","-0.67%"
"07/06/2017","435.08","435.20","435.62","433.60","1,024.68B","-0.19%"
"07/05/2017","435.92","432.66","435.95","430.93","1,131.46B","0.84%"
"07/04/2017","432.27","435.98","436.86","432.27","1,180.70B","-1.07%"
"07/03/2017","436.94","435.34","437.22","434.80","1,246.00B","0.05%"
"06/30/2017","436.71","435.11","436.71","433.18","1,485.79B","-0.51%"
"06/29/2017","438.93","440.38","441.96","437.43","1,929.93B","0.34%"
"06/28/2017","437.44","440.57","440.94","437.23","2,258.79B","-1.18%"
"06/27/2017","442.67","443.39","444.80","441.90","1,765.05B","-0.33%"
"06/26/2017","444.13","437.24","444.13","437.24","1,584.49B","0.93%"
"06/23/2017","440.03","441.59","442.64","439.83","1,294.91B","-0.24%"
"06/22/2017","441.09","440.16","441.95","439.85","1,237.33B","0.53%"
"06/21/2017","438.75","437.53","440.34","435.53","1,546.98B","0.07%"
"06/20/2017","438.44","435.95","440.40","435.95","1,226.17B","1.16%"
"06/19/2017","433.43","428.41","433.60","428.41","1,148.96B","1.24%"
"06/16/2017","428.11","422.72","428.55","422.60","1,315.72B","1.13%"
"06/15/2017","423.31","422.53","423.39","421.38","1,003.27B","0.34%"
"06/14/2017","421.88","425.54","426.89","420.08","1,323.35B","-0.61%"
"06/13/2017","424.48","423.95","425.66","423.81","1,006.10B","-0.05%"
"06/12/2017","424.69","425.45","426.93","424.18","1,048.86B","-1.33%"
"06/09/2017","430.42","432.58","434.33","430.42","1,466.38B","-0.29%"
"06/08/2017","431.66","430.36","432.22","430.32","1,107.78B","0.44%"
"06/07/2017","429.78","430.85","431.88","428.48","1,477.79B","-0.02%"
"06/06/2017","429.86","430.10","430.89","429.29","1,342.95B","-0.22%"
"06/05/2017","430.80","427.46","430.80","427.31","1,456.64B","0.93%"
"06/03/2017","426.85","426.51","427.19","425.48","850.36B","0.09%"
"06/02/2017","426.48","424.49","426.48","424.49","1,405.31B","0.88%"
"06/01/2017","422.76","420.36","422.76","420.08","1,255.80B","1.02%"
"05/31/2017","418.51","422.28","423.20","418.38","1,219.85B","-0.96%"
"05/26/2017","422.55","421.39","423.29","420.73","1,026.83B","-0.10%"
"05/25/2017","422.96","421.28","423.10","420.95","1,185.27B","0.65%"
"05/24/2017","420.21","419.10","421.11","419.10","1,031.38B","0.32%"
"05/23/2017","418.86","418.01","420.53","417.80","1,048.92B","0.24%"
"05/22/2017","417.87","416.40","417.87","415.78","963.80B","0.62%"
"05/19/2017","415.29","416.36","417.39","415.21","1,254.01B","-0.19%"
"05/18/2017","416.07","414.28","416.36","411.96","1,095.01B","-0.32%"
"05/17/2017","417.40","417.03","418.12","415.34","1,007.68B","-0.13%"
"05/16/2017","417.94","419.50","420.18","416.51","1,122.99B","-0.49%"
"05/15/2017","419.98","416.76","420.00","416.63","1,105.17B","0.58%"
"05/12/2017","417.56","417.68","419.55","416.43","1,232.98B","-0.38%"
"05/11/2017","419.17","417.69","420.67","417.10","1,458.66B","0.26%"
"05/10/2017","418.07","416.62","418.86","416.28","1,221.45B","0.65%"
"05/09/2017","415.37","417.00","420.04","414.82","1,684.64B","0.20%"
"05/08/2017","414.55","413.17","414.72","411.92","1,287.50B","0.84%"
"05/05/2017","411.11","412.54","413.37","411.11","1,131.80B","-0.57%"
"05/04/2017","413.47","412.99","414.01","411.78","1,260.76B","0.25%"
"05/03/2017","412.44","412.08","413.96","411.60","1,137.89B","0.32%"
"05/02/2017","411.14","411.64","412.73","410.34","1,381.07B","0.75%"
"04/28/2017","408.08","407.27","409.02","406.64","1,586.65B","0.38%"
"04/27/2017","406.54","405.92","406.71","404.50","1,314.12B","0.31%"
"04/26/2017","405.27","405.56","406.23","404.44","1,378.13B","0.14%"
"04/25/2017","404.69","400.59","404.69","400.41","1,296.30B","1.28%"
"04/24/2017","399.56","401.13","402.42","397.73","963.07B","-0.02%"
"04/21/2017","399.62","396.34","399.62","396.34","1,081.86B","1.16%"
"04/20/2017","395.04","395.38","397.08","394.83","1,131.61B","-0.07%"
"04/19/2017","395.31","398.22","398.22","395.14","1,298.38B","-0.97%"
"04/18/2017","399.20","399.41","401.06","398.65","1,113.23B","0.25%"
"04/17/2017","398.20","399.39","400.35","396.12","1,440.24B","-0.16%"
"04/14/2017","398.82","400.63","401.18","398.34","1,432.71B","-0.93%"
"04/13/2017","402.57","401.02","404.47","400.63","1,636.62B","0.21%"
"04/12/2017","401.71","402.03","402.24","399.79","1,616.07B","-0.07%"
"04/11/2017","401.99","403.74","404.86","401.30","1,430.09B","-0.41%"
"04/10/2017","403.64","404.35","405.20","402.98","1,709.00B","-0.12%"
"04/07/2017","404.13","405.04","405.60","399.64","1,513.07B","-0.20%"
"04/06/2017","404.94","407.39","407.39","404.02","1,268.02B","-0.58%"
"04/05/2017","407.32","402.59","407.32","402.59","1,628.91B","1.95%"
"03/31/2017","399.52","401.26","402.65","399.52","1,492.05B","-0.53%"
"03/30/2017","401.64","402.36","403.08","400.95","1,462.84B","0.05%"
"03/29/2017","401.43","403.70","404.57","400.49","1,507.20B","-0.43%"
"03/28/2017","403.18","404.97","405.36","399.78","1,535.39B","0.10%"
"03/27/2017","402.79","404.17","404.87","402.14","1,410.97B","-0.09%"
"03/24/2017","403.15","403.62","404.69","402.65","1,542.03B","-0.40%"
"03/23/2017","404.77","403.90","405.51","403.28","1,731.00B","0.10%"
"03/22/2017","404.38","403.16","404.38","400.64","1,374.58B","-0.49%"
"03/21/2017","406.36","403.45","406.81","403.24","1,459.89B","0.93%"
"03/20/2017","402.60","402.21","403.04","400.15","1,297.94B","0.11%"
"03/17/2017","402.14","399.02","402.14","398.61","1,297.19B","0.90%"
"03/16/2017","398.54","395.75","398.85","395.75","1,183.33B","1.19%"
"03/15/2017","393.85","393.63","394.72","393.37","1,061.74B","-0.04%"
"03/14/2017","394.01","393.72","395.37","393.72","1,131.77B","0.40%"
"03/13/2017","392.45","390.04","392.47","390.03","971.03B","0.98%"
"03/10/2017","388.66","389.24","389.63","386.20","1,222.79B","-0.34%"
"03/09/2017","389.97","392.40","392.72","389.12","1,355.85B","-0.86%"
"03/08/2017","393.36","392.47","394.48","391.57","1,094.56B","0.36%"
"03/07/2017","391.93","389.98","391.93","389.98","946.70B","0.60%"
"03/06/2017","389.61","388.82","390.09","388.59","1,007.37B","0.21%"
"03/03/2017","388.78","389.83","390.33","388.42","1,022.72B","-0.52%"
"03/02/2017","390.80","392.72","394.66","389.18","1,226.69B","0.15%"
"03/01/2017","390.22","394.15","394.39","390.22","1,331.31B","-0.98%"
"02/24/2017","394.10","393.73","395.94","392.99","1,516.56B","-0.12%"
"02/23/2017","394.57","393.80","396.29","393.29","1,523.47B","0.09%"
"02/22/2017","394.23","395.03","396.55","393.89","1,390.03B","0.08%"
"02/21/2017","393.93","394.29","394.89","391.87","1,201.26B","0.05%"
"02/20/2017","393.74","395.34","396.39","393.24","1,397.33B","-0.14%"
"02/18/2017","394.30","393.98","395.03","393.87","900.75B","0.27%"
"02/17/2017","393.24","393.71","394.73","393.10","1,196.71B","0.00%"
"02/16/2017","393.23","395.48","396.84","392.13","1,214.66B","-0.23%"
"02/15/2017","394.12","391.97","394.93","391.71","1,431.90B","0.59%"
"02/14/2017","391.79","392.62","393.97","391.30","1,429.50B","0.11%"
"02/13/2017","391.37","390.18","391.58","389.57","1.49B","0.62%"
"02/10/2017","388.97","387.82","390.16","387.56","1.51B","0.55%"
"02/09/2017","386.84","385.04","387.48","384.43","1.55B","0.64%"
"02/08/2017","384.38","383.61","385.37","382.58","1.74B","0.00%"
"02/07/2017","384.37","383.08","384.67","382.34","1.24B","0.14%"
"02/06/2017","383.84","382.37","384.07","382.34","1.34B","0.56%"
"02/03/2017","381.72","382.13","382.88","380.28","1.37B","0.22%"
"02/02/2017","380.89","384.43","385.48","380.40","1.75B","-0.05%"
"01/24/2017","381.07","379.81","382.40","379.81","1.08B","0.26%"
"01/23/2017","380.09","377.42","380.09","377.42","983.56M","1.14%"
"01/20/2017","375.79","375.93","376.77","375.32","929.73M","0.18%"
"01/19/2017","375.13","374.94","376.38","374.09","1.08B","-0.20%"
"01/18/2017","375.88","375.42","376.42","374.62","1.11B","0.00%"
"01/17/2017","375.89","373.73","375.89","373.17","718.98M","0.81%"
"01/16/2017","372.88","374.48","374.67","371.93","754.06M","-0.75%"
"01/13/2017","375.71","374.66","376.07","373.70","918.74M","-0.47%"
"01/12/2017","377.49","374.91","378.28","374.78","970.44M","0.77%"
"01/11/2017","374.60","376.15","376.63","374.05","903.78M","-0.17%"
"01/10/2017","375.24","375.04","375.85","374.07","852.18M","0.18%"
"01/09/2017","374.56","376.17","377.47","373.78","1.13B","-0.35%"
"01/06/2017","375.87","375.48","376.50","375.02","1.09B","0.31%"
"01/05/2017","374.71","371.65","374.75","371.65","1.12B","0.73%"
"01/04/2017","372.00","371.47","373.16","370.79","838.96M","0.19%"
"01/03/2017","371.30","369.65","371.45","369.14","770.88M","0.45%"
"12/30/2016","369.64","367.93","370.58","367.93","797.82M","0.88%"
"12/29/2016","366.43","366.38","368.21","366.30","769.06M","-0.50%"
"12/28/2016","368.26","365.37","368.35","365.35","736.92M","0.96%"
"12/27/2016","364.75","364.86","365.51","364.06","525.13M","0.13%"
"12/26/2016","364.26","363.50","365.24","363.29","483.39M","0.33%"
"12/23/2016","363.06","364.24","365.35","363.06","767.06M","-0.32%"
"12/22/2016","364.24","366.59","367.24","364.24","804.09M","-0.58%"
"12/21/2016","366.36","367.86","369.03","366.36","874.46M","-0.60%"
"12/20/2016","368.56","367.38","368.56","365.99","722.44M","0.12%"
"12/19/2016","368.10","371.49","371.92","368.08","722.50M","-1.10%"
"12/16/2016","372.20","373.29","374.76","372.20","927.50M","-0.59%"
"12/15/2016","374.40","372.49","374.91","371.55","842.28M","0.01%"
"12/14/2016","374.37","374.39","375.45","373.19","777.12M","0.24%"
"12/13/2016","373.49","373.62","373.88","372.03","802.57M","0.26%"
"12/12/2016","372.51","374.47","375.85","371.75","815.24M","-0.52%"
"12/09/2016","374.47","374.86","374.99","373.51","941.98M","0.06%"
"12/08/2016","374.25","371.87","374.25","371.69","1.13B","1.39%"
"12/07/2016","369.13","369.64","370.68","368.65","907.25M","0.24%"
"12/06/2016","368.24","366.70","369.66","366.70","806.04M","1.08%"
"12/05/2016","364.30","364.51","365.54","363.12","777.48M","-0.05%"
"12/02/2016","364.48","365.98","365.98","364.11","806.18M","-1.39%"
"12/01/2016","369.60","369.54","370.47","368.70","771.85M","-0.02%"
"11/30/2016","369.69","368.72","370.63","368.25","1.02B","0.27%"
"11/29/2016","368.70","369.82","371.83","368.70","859.74M","-0.25%"
"11/28/2016","369.64","367.12","370.52","367.12","759.32M","0.75%"
"11/25/2016","366.89","367.30","368.74","366.84","677.59M","-0.23%"
"11/24/2016","367.73","369.25","370.05","367.71","925.24M","-0.76%"
"11/23/2016","370.56","368.89","371.76","368.75","915.24M","0.64%"
"11/22/2016","368.20","365.47","369.98","365.47","1.15B","1.08%"
"11/21/2016","364.28","363.53","364.78","362.56","946.71M","0.14%"
"11/18/2016","363.77","361.78","364.47","360.64","877.92M","0.55%"
"11/17/2016","361.79","361.61","362.45","359.43","826.84M","0.56%"
"11/16/2016","359.79","359.52","363.27","359.52","840.24M","0.41%"
"11/15/2016","358.33","357.88","360.77","357.44","806.27M","-0.21%"
"11/14/2016","359.09","360.94","361.93","357.30","897.10M","-0.54%"
"11/11/2016","361.05","365.45","365.65","360.93","1.15B","-2.82%"
"11/10/2016","371.54","369.91","373.66","369.91","932.78M","2.15%"
"11/09/2016","363.71","378.23","379.61","363.44","1.40B","-3.29%"
"11/08/2016","376.08","377.73","377.97","374.61","690.14M","-0.09%"
"11/07/2016","376.42","372.96","376.53","372.72","683.09M","1.54%"
"11/04/2016","370.70","370.83","372.69","370.18","731.26M","-0.07%"
"11/03/2016","370.97","373.74","375.15","370.97","835.94M","-0.91%"
"11/02/2016","374.36","378.29","378.55","374.36","792.42M","-1.66%"
"11/01/2016","380.67","380.58","381.13","378.80","685.17M","-0.06%"
"10/31/2016","380.89","381.09","382.76","377.59","777.15M","-0.29%"
"10/28/2016","381.98","382.75","383.34","380.70","865.30M","-0.01%"
"10/27/2016","382.01","385.62","385.90","382.01","856.45M","-0.88%"
"10/26/2016","385.39","384.59","386.16","384.11","738.33M","-0.35%"
"10/25/2016","386.73","385.11","387.45","384.50","909.10M","0.78%"
"10/24/2016","383.74","383.61","384.08","382.34","752.46M","0.56%"
"10/21/2016","381.60","382.68","384.74","381.60","1.06B","-0.10%"
"10/20/2016","381.99","381.25","382.62","380.58","728.00M","0.24%"
"10/19/2016","381.06","379.19","381.64","379.16","757.62M","0.60%"
"10/18/2016","378.78","377.93","378.78","376.62","614.00M","0.24%"
"10/17/2016","377.89","376.05","378.53","373.45","659.30M","0.20%"
"10/14/2016","377.13","378.50","379.57","376.12","817.35M","-0.71%"
"10/13/2016","379.84","382.52","383.33","378.29","843.99M","-0.43%"
"10/12/2016","381.48","378.65","381.95","377.47","832.86M","0.57%"
"10/11/2016","379.30","383.98","385.04","376.70","1.28B","-0.40%"
"10/07/2016","380.83","382.53","382.53","379.77","891.88M","-0.31%"
"10/06/2016","382.00","380.75","382.00","379.60","936.80M","0.20%"
"10/05/2016","381.22","380.68","381.69","380.12","884.09M","-0.12%"
"10/04/2016","381.68","378.90","381.68","378.73","875.22M","0.59%"
"10/03/2016","379.46","379.02","380.64","378.46","907.60M","1.06%"
"09/30/2016","375.48","378.86","379.34","375.48","833.28M","-1.18%"
"09/29/2016","379.95","379.14","381.94","378.85","999.52M","0.00%"
"09/28/2016","379.95","379.14","381.94","378.85","999.52K","0.94%"
"09/27/2016","376.40","377.91","378.57","376.40","751.31K","0.00%"
"09/26/2016","376.40","377.91","378.57","376.40","751.31M","-1.34%"
"09/23/2016","381.52","379.37","381.52","378.68","898.81M","0.66%"
"09/22/2016","379.01","380.61","381.77","377.63","940.37M","0.05%"
"09/21/2016","378.81","375.35","378.81","374.85","1.06B","0.56%"
"09/20/2016","376.69","376.03","377.53","375.45","918.25M","0.05%"
"09/19/2016","376.49","370.21","376.85","370.21","1.02B","3.60%"
"09/14/2016","363.40","363.58","366.54","363.09","954.80M","-0.34%"
"09/13/2016","364.64","366.56","367.95","361.92","1.08B","0.08%"
"09/12/2016","364.35","368.11","368.17","364.35","1.00B","-1.23%"
"09/10/2016","368.89","369.89","370.06","367.28","785.44M","-1.23%"
"09/09/2016","373.48","375.33","375.33","372.60","972.44M","-1.19%"
"09/08/2016","377.98","377.49","379.06","376.82","1.12B","-0.13%"
"09/07/2016","378.49","376.05","379.92","375.90","1.10B","1.03%"
"09/06/2016","374.63","371.49","374.63","371.22","1.02B","1.09%"
"09/05/2016","370.60","368.40","371.44","368.40","877.52M","1.27%"
"09/02/2016","365.96","368.59","369.54","364.96","1.20B","-0.49%"
"09/01/2016","367.78","369.68","370.50","366.77","1.06B","-0.61%"
"08/31/2016","370.04","371.82","372.14","368.68","1.20B","-0.20%"
"08/30/2016","370.79","371.53","372.31","370.01","889.74M","-0.22%"
"08/29/2016","371.60","371.51","372.76","368.28","909.11M","-0.27%"
"08/26/2016","372.59","371.00","372.73","370.92","953.16M","0.09%"
"08/25/2016","372.25","368.49","372.25","368.28","1.13B","1.38%"
"08/24/2016","367.18","367.88","368.67","366.88","874.86M","0.07%"
"08/23/2016","366.94","365.87","367.92","365.71","867.74M","0.50%"
"08/22/2016","365.12","365.69","366.51","362.97","814.50M","-0.44%"
"08/19/2016","366.74","370.69","372.28","366.74","999.71M","-0.77%"
"08/18/2016","369.59","369.38","370.20","368.67","845.38M","-0.11%"
"08/17/2016","369.99","370.95","371.05","368.70","961.03M","0.01%"
"08/16/2016","369.94","371.91","373.29","369.08","1.06B","-0.66%"
"08/15/2016","372.39","371.52","372.43","370.10","976.84M","0.43%"
"08/12/2016","370.79","371.60","372.63","370.47","1.08B","-0.13%"
"08/11/2016","371.27","373.28","373.63","368.67","1.20B","-1.05%"
"08/10/2016","375.22","374.97","375.66","373.22","1.07B","0.18%"
"08/09/2016","374.56","375.34","376.05","373.89","1.07B","-0.15%"
"08/08/2016","375.12","373.68","375.12","372.95","1.09B","0.84%"
"08/05/2016","372.00","369.58","372.54","368.93","1.09B","0.73%"
"08/04/2016","369.29","368.49","369.75","367.07","952.01M","0.42%"
"08/03/2016","367.74","367.56","369.43","365.98","1.05B","-0.99%"
"08/02/2016","371.40","372.03","372.18","370.52","1.05B","-0.10%"
"08/01/2016","371.76","368.14","371.76","368.01","1.09B","1.44%"
"07/29/2016","366.50","371.00","371.22","366.50","1.14B","-1.20%"
"07/28/2016","370.96","370.42","371.14","367.93","1.46B","0.18%"
"07/27/2016","370.28","369.77","371.85","369.55","1.41B","0.74%"
"07/26/2016","367.56","365.48","367.56","364.37","1.11B","0.57%"
"07/25/2016","365.47","367.31","369.37","361.81","1.19B","-0.23%"
"07/22/2016","366.32","368.53","368.80","366.02","1.35B","-0.54%"
"07/21/2016","368.31","366.03","369.33","365.77","1.74B","0.68%"
"07/20/2016","365.82","366.18","367.22","364.20","1.22B","-0.35%"
"07/19/2016","367.09","367.23","367.30","364.98","1.41B","0.33%"
"07/18/2016","365.90","363.52","366.08","363.52","1.16B","0.61%"
"07/15/2016","363.69","359.57","363.69","359.57","1.09B","0.97%"
"07/14/2016","360.20","359.00","360.91","358.11","1.10B","-0.04%"
"07/13/2016","360.33","360.85","361.44","357.73","1.28B","-0.14%"
"07/12/2016","360.84","359.42","361.31","359.30","1.14B","0.48%"
"07/11/2016","359.10","357.03","359.32","356.92","1.29B","2.19%"
"07/08/2016","351.41","349.41","351.98","349.39","1.04B","0.00%"
"07/07/2016","351.41","349.41","351.98","349.39","1.04B","1.07%"
"07/06/2016","347.69","351.67","351.67","347.08","1.02B","-1.63%"
"07/05/2016","353.46","354.99","355.45","352.91","893.88M","-0.74%"
"07/04/2016","356.11","354.23","356.79","353.41","895.11M","0.51%"
"07/01/2016","354.31","352.73","355.01","352.10","1.19B","0.97%"
"06/30/2016","350.90","348.41","350.96","346.65","1.45B","1.20%"
"06/29/2016","346.75","344.66","348.03","344.66","1.27B","1.07%"
"06/28/2016","343.08","339.42","343.08","338.04","898.47M","0.83%"
"06/27/2016","340.25","338.05","340.80","337.22","772.69M","-0.36%"
"06/24/2016","341.47","350.60","350.69","336.17","1.44B","-2.50%"
"06/23/2016","350.23","351.32","351.81","349.70","795.85M","-0.42%"
"06/22/2016","351.69","350.05","351.69","348.99","960.15M","0.35%"
"06/21/2016","350.47","348.67","350.47","348.18","874.76M","0.71%"
"06/20/2016","348.00","348.05","349.05","347.39","894.51M","0.63%"
"06/17/2016","345.81","344.62","347.75","344.62","1.04B","1.00%"
"06/16/2016","342.38","345.53","345.78","341.60","980.84M","-1.27%"
"06/15/2016","346.80","345.02","347.02","343.17","1.10B","0.34%"
"06/14/2016","345.63","342.15","345.94","341.68","778.85M","0.61%"
"06/13/2016","343.52","346.82","346.82","342.85","885.58M","-2.21%"
"06/08/2016","351.28","350.40","352.29","349.93","920.59M","0.79%"
"06/07/2016","348.53","346.47","349.42","346.33","909.98M","0.94%"
"06/06/2016","345.29","345.17","347.69","343.41","721.61M","0.27%"
"06/04/2016","344.36","344.06","344.44","343.41","399.18M","0.02%"
"06/03/2016","344.29","342.24","344.42","342.24","770.70M","0.75%"
"06/02/2016","341.74","343.71","345.09","341.42","911.35M","-0.57%"
"06/01/2016","343.69","339.46","343.99","339.45","985.75M","1.01%"
"05/31/2016","340.26","339.95","341.19","338.34","1.23B","0.08%"
"05/30/2016","340.00","338.07","341.27","337.42","896.67M","0.76%"
"05/27/2016","337.45","335.82","337.60","335.53","935.94M","0.82%"
"05/26/2016","334.69","334.27","335.39","333.28","821.37M","0.24%"
"05/25/2016","333.90","332.16","335.04","332.16","1.01B","1.41%"
"05/24/2016","329.27","330.72","332.05","329.27","860.72M","-0.71%"
"05/23/2016","331.62","323.16","332.15","322.35","1.11B","3.25%"
"05/20/2016","321.18","319.98","322.90","319.26","711.77M","0.57%"
"05/19/2016","319.37","321.78","322.38","318.16","692.21M","-0.58%"
"05/18/2016","321.23","319.42","321.23","317.56","844.37M","0.16%"
"05/17/2016","320.71","318.40","321.27","317.43","859.46M","1.00%"
"05/16/2016","317.54","315.73","318.81","314.92","837.70M","0.23%"
"05/13/2016","316.80","318.31","318.37","314.10","1.13B","-0.60%"
"05/12/2016","318.70","319.82","321.14","318.47","790.82M","-0.52%"
"05/11/2016","320.38","322.29","323.36","319.77","877.05M","-0.20%"
"05/10/2016","321.03","318.81","321.58","317.79","729.68M","0.51%"
"05/09/2016","319.40","320.10","321.29","318.39","758.78M","0.02%"
"05/06/2016","319.35","320.91","320.91","317.59","881.46M","-0.34%"
"05/05/2016","320.45","320.96","322.04","318.25","877.24M","-0.21%"
"05/04/2016","321.13","323.31","324.66","319.82","944.10M","-0.91%"
"05/03/2016","324.08","326.31","326.35","322.55","897.78M","-1.30%"
"04/29/2016","328.35","329.89","329.89","327.28","881.40M","-1.35%"
"04/28/2016","332.84","338.81","339.20","332.60","858.92M","-1.39%"
"04/27/2016","337.53","337.50","339.36","336.16","715.17M","-0.49%"
"04/26/2016","339.18","337.57","340.70","337.48","703.08M","0.33%"
"04/25/2016","338.07","337.63","338.21","336.21","623.02M","0.19%"
"04/22/2016","337.42","338.49","339.76","336.11","904.14M","-0.53%"
"04/21/2016","339.22","338.46","339.55","336.59","729.22M","0.87%"
"04/20/2016","336.30","341.95","343.76","336.15","977.14M","-1.52%"
"04/19/2016","341.48","345.98","347.48","341.31","846.07M","-0.68%"
"04/18/2016","343.82","344.41","344.92","343.25","708.71M","-0.48%"
"04/15/2016","345.48","342.53","345.60","341.27","792.15M","0.01%"
"04/14/2016","345.46","346.47","347.53","344.55","873.56M","-0.08%"
"04/13/2016","345.73","342.24","345.91","342.18","874.17M","1.50%"
"04/12/2016","340.61","342.36","344.45","340.04","968.81M","-0.60%"
"04/11/2016","342.66","340.36","342.98","338.71","863.19M","0.38%"
"04/08/2016","341.35","338.04","341.86","337.36","1.09B","0.76%"
"04/07/2016","338.78","339.77","340.53","336.32","975.68M","0.00%"
"04/06/2016","338.79","342.58","342.58","338.25","1.03B","-1.85%"
"04/01/2016","345.16","347.95","347.95","343.83","804.14M","-1.32%"
"03/31/2016","349.78","350.17","352.25","346.93","1.07B","0.06%"
"03/30/2016","349.58","344.65","349.80","344.65","1.11B","1.55%"
"03/29/2016","344.26","346.05","347.75","343.00","1.06B","-0.54%"
"03/28/2016","346.13","346.96","347.92","345.24","969.39M","-0.11%"
"03/25/2016","346.51","348.87","349.41","345.92","822.38M","-0.51%"
"03/24/2016","348.30","348.09","349.34","345.81","1.04B","-0.33%"
"03/23/2016","349.44","349.69","351.44","347.76","1.05B","-0.19%"
"03/22/2016","350.09","351.99","352.21","347.03","1.13B","-0.67%"
"03/21/2016","352.44","352.34","353.12","349.64","966.97M","0.20%"
"03/18/2016","351.72","349.54","351.74","349.38","1.34B","0.77%"
"03/17/2016","349.03","351.33","353.22","348.35","1.38B","0.37%"
"03/16/2016","347.76","345.36","347.76","345.36","1.19B","1.12%"
"03/15/2016","343.90","349.10","350.12","342.88","1.57B","-1.57%"
"03/14/2016","349.39","348.56","350.28","348.39","1.31B","0.87%"
"03/11/2016","346.38","344.48","346.48","343.17","1.18B","0.62%"
"03/10/2016","344.25","342.94","344.65","341.63","1.25B","0.44%"
"03/09/2016","342.75","342.45","342.84","339.99","1.20B","0.00%"
"03/08/2016","342.76","341.45","342.76","338.59","1.42B","0.18%"
"03/07/2016","342.16","343.82","345.63","341.04","1.24B","-0.37%"
"03/04/2016","343.44","342.69","343.79","341.66","1.30B","0.12%"
"03/03/2016","343.02","342.97","344.52","341.43","1.27B","0.44%"
"03/02/2016","341.51","342.40","343.73","341.51","1.32B","0.72%"
"03/01/2016","339.07","333.94","339.29","333.94","1.10B","1.20%"
"02/26/2016","335.05","334.82","336.80","332.20","1.06B","0.19%"
"02/25/2016","334.40","331.34","335.35","331.34","1.30B","1.31%"
"02/24/2016","330.08","332.94","334.58","328.94","1.12B","-0.86%"
"02/23/2016","332.94","333.42","334.51","331.93","1.03B","-0.15%"
"02/22/2016","333.43","332.49","336.39","332.00","925.53M","-0.01%"
"02/19/2016","333.46","331.78","333.88","331.22","1.09B","0.13%"
"02/18/2016","333.02","331.32","333.97","331.31","1.19B","1.26%"
"02/17/2016","328.87","329.61","330.21","327.57","1.11B","0.30%"
"02/16/2016","327.89","323.03","328.55","323.03","1.01B","1.84%"
"02/15/2016","321.98","317.61","323.12","316.67","1.08B","-0.07%"
"02/03/2016","322.21","323.72","324.01","321.06","977.54M","-0.33%"
"02/02/2016","323.27","324.11","324.59","321.70","976.55M","-0.42%"
"02/01/2016","324.63","325.50","325.53","322.59","1.01B","0.25%"
"01/30/2016","323.83","322.99","324.38","322.67","","0.45%"
"01/29/2016","322.38","314.34","322.38","313.93","1.33B","2.00%"
"01/28/2016","316.06","312.44","316.68","311.97","1.13B","0.58%"
"01/27/2016","314.23","314.47","315.33","313.03","807.34M","0.51%"
"01/26/2016","312.63","312.14","313.62","311.09","852.35M","-0.74%"
"01/25/2016","314.96","312.83","315.41","312.57","818.12M","1.63%"
"01/22/2016","309.90","307.90","309.90","307.11","960.94M","1.69%"
"01/21/2016","304.75","304.98","307.57","303.75","996.69M","0.07%"
"01/20/2016","304.55","311.07","311.07","304.20","1.20B","-2.38%"
"01/19/2016","311.96","310.22","311.96","308.73","967.12M","0.73%"
"01/18/2016","309.69","303.90","311.13","301.91","1.02B","0.64%"
"01/15/2016","307.73","309.43","310.95","305.14","1.04B","0.99%"
"01/14/2016","304.70","304.04","304.70","300.98","985.46M","-1.02%"
"01/13/2016","307.85","307.15","309.67","306.09","991.08M","0.73%"
"01/12/2016","305.62","307.28","309.37","303.73","1.20B","-0.32%"
"01/11/2016","306.60","308.64","308.64","303.57","1.06B","-1.25%"
"01/08/2016","310.47","305.59","311.08","304.97","1.10B","0.91%"
"01/07/2016","307.68","311.86","312.73","304.41","1.45B","-1.94%"
"01/06/2016","313.76","318.29","318.29","311.68","1.22B","-1.61%"
"01/05/2016","318.90","319.85","321.51","317.95","1.01B","-0.50%"
"01/04/2016","320.50","327.85","328.46","320.36","933.27M","-2.21%"
"12/31/2015","327.73","326.46","328.41","325.77","644.49M","0.33%"
"12/30/2015","326.64","328.12","329.33","326.31","699.18M","-0.18%"
"12/29/2015","327.24","329.96","330.20","326.93","714.51M","-0.94%"
"12/28/2015","330.35","331.34","332.23","330.26","726.55M","-0.11%"
"12/25/2015","330.71","328.89","330.91","328.49","703.32M","0.58%"
"12/24/2015","328.81","330.96","332.31","328.80","1.00B","-0.09%"
"12/23/2015","329.11","328.93","331.83","328.93","1.32B","0.03%"
"12/22/2015","329.01","329.04","330.55","327.85","1.23B","-0.07%"
"12/21/2015","329.25","326.69","329.91","325.67","1.47B","0.42%"
