"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","790.37","801.95","802.23","790.37","1.67B","-2.15%"
"04/06/2022","807.72","809.77","809.77","804.34","1.45B","-1.41%"
"04/01/2022","819.24","825.17","825.17","813.17","1.17B","-0.91%"
"03/31/2022","826.80","831.58","831.58","825.40","1.27B","-0.50%"
"03/30/2022","830.97","821.83","832.22","821.83","1.70B","1.25%"
"03/29/2022","820.73","822.84","823.44","816.77","1.42B","0.14%"
"03/28/2022","819.56","819.53","820.44","812.71","1.22B","-1.37%"
"03/25/2022","830.95","828.03","832.64","828.03","1.60B","0.36%"
"03/24/2022","827.98","827.56","828.49","821.99","1.54B","-0.03%"
"03/23/2022","828.26","820.96","829.03","820.96","1.55B","1.01%"
"03/22/2022","819.94","817.33","821.21","815.23","1.18B","-0.15%"
"03/21/2022","821.20","819.36","824.36","818.59","1.27B","0.56%"
"03/18/2022","816.62","816.12","816.62","810.55","1.83B","0.03%"
"03/17/2022","816.39","802.57","817.97","802.57","1.85B","3.72%"
"03/16/2022","787.13","790.51","792.94","781.40","1.68B","0.19%"
"03/15/2022","785.67","798.67","798.67","785.24","1.54B","-2.51%"
"03/14/2022","805.88","810.25","813.02","804.17","1.31B","-0.46%"
"03/11/2022","809.63","816.67","816.67","808.20","1.11B","-1.30%"
"03/10/2022","820.32","809.99","822.69","809.99","1.55B","2.95%"
"03/09/2022","796.82","794.97","800.99","794.66","1.46B","1.02%"
"03/08/2022","788.76","792.23","801.80","787.05","1.97B","-1.96%"
"03/07/2022","804.49","822.71","822.71","802.62","1.87B","-3.49%"
"03/04/2022","833.56","838.58","838.58","832.67","1.35B","-1.24%"
"03/03/2022","844.01","845.35","851.13","842.60","1.50B","0.20%"
"03/02/2022","842.32","842.55","845.45","838.46","1.31B","-0.31%"
"03/01/2022","844.95","834.71","849.02","834.71","1.58B","1.09%"
"02/25/2022","835.83","832.74","841.19","832.45","2.00B","0.29%"
"02/24/2022","833.44","852.26","852.26","833.25","2.01B","-2.98%"
"02/23/2022","859.04","854.47","862.49","854.47","1.23B","0.30%"
"02/22/2022","856.45","863.76","863.76","851.04","1.62B","-1.24%"
"02/21/2022","867.23","867.48","870.05","864.02","1.42B","-0.35%"
"02/18/2022","870.25","874.19","874.19","864.78","1.53B","-0.55%"
"02/17/2022","875.02","873.25","877.83","870.80","1.97B","0.03%"
"02/16/2022","874.72","868.47","874.72","868.47","1.71B","1.90%"
"02/15/2022","858.42","858.79","866.25","857.88","1.43B","-0.30%"
"02/14/2022","861.00","871.23","871.23","859.14","1.60B","-2.19%"
"02/11/2022","880.24","875.92","880.24","872.91","1.58B","-0.13%"
"02/10/2022","881.37","873.39","881.37","870.78","1.77B","1.39%"
"02/09/2022","869.25","865.03","870.74","862.90","1.99B","1.24%"
"02/08/2022","858.63","862.79","867.03","858.63","1.58B","0.01%"
"02/07/2022","858.53","859.48","864.44","851.31","1.77B","0.48%"
"01/26/2022","854.42","856.49","861.03","854.37","1.62B","-0.62%"
"01/25/2022","859.76","867.17","867.17","856.94","1.71B","-1.61%"
"01/24/2022","873.79","862.61","875.02","856.13","1.71B","0.96%"
"01/21/2022","865.46","873.74","873.74","862.19","2.06B","-1.75%"
"01/20/2022","880.88","881.30","885.33","875.93","1.77B","-0.18%"
"01/19/2022","882.50","882.50","888.86","879.01","1.52B","-0.84%"
"01/18/2022","889.99","899.81","904.72","889.99","1.61B","-1.36%"
"01/17/2022","902.26","897.74","903.20","894.70","1.53B","1.50%"
"01/14/2022","888.91","893.77","893.77","877.41","1.69B","0.16%"
"01/13/2022","887.51","885.33","889.37","882.56","1.54B","0.09%"
"01/12/2022","886.71","885.04","887.98","879.27","1.63B","0.65%"
"01/11/2022","880.98","882.37","882.37","873.73","1.99B","0.08%"
"01/10/2022","880.31","869.54","881.16","865.61","1.61B","0.63%"
"01/07/2022","874.78","889.94","892.94","872.72","2.15B","-1.59%"
"01/06/2022","888.90","892.51","892.82","881.85","1.91B","-1.26%"
"01/05/2022","900.28","908.90","911.55","896.74","2.81B","-0.31%"
"01/04/2022","903.09","893.28","903.09","893.28","2.84B","2.17%"
"01/03/2022","883.88","879.20","888.27","879.20","2.50B","0.88%"
"12/30/2021","876.16","877.57","879.62","875.52","2.51B","0.00%"
"12/29/2021","876.19","875.26","878.75","873.67","2.21B","0.15%"
"12/28/2021","874.88","869.71","875.28","869.71","2.43B","0.99%"
"12/27/2021","866.30","861.48","870.79","861.48","2.50B","0.62%"
"12/24/2021","860.96","861.72","865.89","860.73","2.41B","-0.01%"
"12/23/2021","861.08","854.52","861.96","854.52","2.57B","0.91%"
"12/22/2021","853.29","850.58","855.80","850.58","2.02B","0.42%"
"12/21/2021","849.76","845.44","852.41","844.18","1.76B","0.66%"
"12/20/2021","844.22","853.24","853.24","843.28","1.84B","-1.05%"
"12/17/2021","853.22","850.86","853.22","847.19","2.44B","-0.11%"
"12/16/2021","854.19","848.75","854.72","848.75","2.68B","1.03%"
"12/15/2021","845.51","840.98","846.58","839.19","2.18B","0.42%"
"12/14/2021","841.97","848.04","848.04","839.76","2.53B","-0.80%"
"12/13/2021","848.78","852.34","856.96","848.78","2.38B","-0.36%"
"12/10/2021","851.84","855.01","855.01","847.59","2.20B","-0.44%"
"12/09/2021","855.60","853.87","856.80","850.35","2.88B","0.48%"
"12/08/2021","851.48","853.37","862.48","851.48","2.36B","0.01%"
"12/07/2021","851.43","851.18","852.07","843.76","2.79B","0.35%"
"12/06/2021","848.49","849.02","854.38","844.87","1.96B","-0.53%"
"12/03/2021","852.98","854.73","858.01","850.99","2.33B","-0.36%"
"12/02/2021","856.02","847.26","859.45","847.26","2.49B","1.03%"
"12/01/2021","847.33","838.82","849.75","836.17","2.39B","1.05%"
"11/30/2021","838.49","834.28","845.20","834.28","3.14B","0.72%"
"11/29/2021","832.50","829.56","836.59","822.79","2.07B","0.03%"
"11/26/2021","832.26","844.47","844.47","829.40","2.34B","-1.45%"
"11/25/2021","844.47","847.23","849.55","842.34","1.89B","-0.02%"
"11/24/2021","844.67","851.18","852.30","842.11","1.99B","-0.73%"
"11/23/2021","850.85","858.73","858.73","849.71","2.66B","-0.97%"
"11/22/2021","859.22","860.47","862.80","858.95","2.68B","-0.08%"
"11/19/2021","859.94","857.73","867.60","857.68","3.47B","0.42%"
"11/18/2021","856.38","853.14","856.80","850.94","3.51B","0.42%"
"11/17/2021","852.78","850.56","855.41","849.27","2.96B","0.32%"
"11/16/2021","850.02","848.08","852.34","847.33","2.63B","0.28%"
"11/15/2021","847.68","841.51","850.44","841.51","2.76B","0.95%"
